,Train Loss
994,tensor(2.1907)
995,tensor(2.9819)
996,tensor(2.4121)
997,tensor(2.9765)
998,tensor(2.1347)
999,tensor(3.4657)
1000,tensor(2.6919)
1001,tensor(4.4513)
1002,tensor(4.5837)
1003,tensor(3.9181)
1004,tensor(5.8728)
1005,tensor(5.0325)
1006,tensor(3.3773)
1007,tensor(4.4681)
1008,tensor(3.2964)
1009,tensor(3.8419)
1010,tensor(4.0854)
1011,tensor(2.4537)
1012,tensor(3.9239)
1013,tensor(2.6052)
1014,tensor(3.1426)
1015,tensor(1.9652)
1016,tensor(3.4099)
1017,tensor(2.4530)
1018,tensor(2.2021)
1019,tensor(2.4699)
1020,tensor(3.1988)
1021,tensor(3.9302)
1022,tensor(2.9437)
1023,tensor(2.4102)
1024,tensor(3.8027)
1025,tensor(2.7629)
1026,tensor(2.4581)
1027,tensor(4.0402)
1028,tensor(3.5184)
1029,tensor(3.5589)
1030,tensor(2.3473)
1031,tensor(1.8936)
1032,tensor(2.6251)
1033,tensor(5.0915)
1034,tensor(3.3884)
1035,tensor(2.8056)
1036,tensor(3.5992)
1037,tensor(4.6406)
1038,tensor(3.9193)
1039,tensor(2.4663)
1040,tensor(3.3727)
1041,tensor(3.2433)
1042,tensor(2.0848)
1043,tensor(2.4786)
1044,tensor(2.9691)
1045,tensor(3.1634)
1046,tensor(2.0332)
1047,tensor(2.9029)
1048,tensor(2.9169)
1049,tensor(2.1942)
1050,tensor(2.4675)
1051,tensor(2.5016)
1052,tensor(4.0281)
1053,tensor(1.9615)
1054,tensor(3.8815)
1055,tensor(2.9783)
1056,tensor(1.7027)
1057,tensor(3.0087)
1058,tensor(3.0842)
1059,tensor(3.1079)
1060,tensor(3.0591)
1061,tensor(3.0228)
1062,tensor(4.1080)
1063,tensor(5.2348)
1064,tensor(2.7188)
1065,tensor(6.4510)
1066,tensor(2.9846)
1067,tensor(4.9195)
1068,tensor(4.8827)
1069,tensor(2.0204)
1070,tensor(2.4847)
1071,tensor(2.4583)
1072,tensor(2.8922)
1073,tensor(2.0068)
1074,tensor(6.1719)
1075,tensor(3.0730)
1076,tensor(2.8841)
1077,tensor(3.4710)
1078,tensor(1.9439)
1079,tensor(4.6911)
1080,tensor(4.9629)
1081,tensor(2.0678)
1082,tensor(2.5081)
1083,tensor(3.1828)
1084,tensor(3.5885)
1085,tensor(4.3269)
1086,tensor(3.9645)
1087,tensor(2.2788)
1088,tensor(3.2287)
1089,tensor(2.4542)
1090,tensor(2.2989)
1091,tensor(3.5700)
1092,tensor(2.0794)
1093,tensor(2.8749)
1094,tensor(3.9323)
1095,tensor(2.8527)
1096,tensor(4.7676)
1097,tensor(2.9561)
1098,tensor(5.8530)
1099,tensor(2.6688)
1100,tensor(2.5853)
1101,tensor(2.1410)
1102,tensor(3.8040)
1103,tensor(3.0276)
1104,tensor(2.6932)
1105,tensor(2.6792)
1106,tensor(2.6585)
1107,tensor(2.5663)
1108,tensor(2.4017)
1109,tensor(2.6123)
1110,tensor(1.9314)
1111,tensor(2.5505)
1112,tensor(3.6132)
1113,tensor(2.2102)
1114,tensor(2.8067)
1115,tensor(2.7953)
1116,tensor(2.9734)
1117,tensor(2.3976)
1118,tensor(2.9432)
1119,tensor(3.1443)
1120,tensor(3.4029)
1121,tensor(4.0310)
1122,tensor(6.3278)
1123,tensor(2.6909)
1124,tensor(2.6439)
1125,tensor(4.5010)
1126,tensor(2.4625)
1127,tensor(2.5220)
1128,tensor(2.6982)
1129,tensor(3.4626)
1130,tensor(3.2372)
1131,tensor(3.3798)
1132,tensor(2.0792)
1133,tensor(2.4756)
1134,tensor(2.6589)
1135,tensor(2.8128)
1136,tensor(1.9155)
1137,tensor(2.9537)
1138,tensor(2.0951)
